Foil Type:	00XX
Height/Length Ratio:	15.00%
Width/Height Ratio:	100.00%
Length (cm):	27.94
Centre (cm):	10.25
Projected Weight (kg):	2.3999
Volume (cm3):	212.3792
Wetted Surface (cm2):	252.0937


Position	X	Height Max	Height Min	Width
1	0.00	0.00	0.00	0.00
2	3.99	1.84	-1.84	1.84
3	7.98	2.09	-2.09	2.09
4	11.98	1.99	-1.99	1.99
5	15.97	1.67	-1.67	1.67
6	19.96	1.23	-1.23	1.23
7	23.95	0.69	-0.69	0.69
8	27.94	0.04	-0.04	0.04
